what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422891732549
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1422891738631
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422891739542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891757948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891759261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891768648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891782455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891784935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891785982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891796469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891798067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891799083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891800473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891810562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891816845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891818759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891824659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891841963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891843572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891845135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891846010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891853667
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422891857267
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422891858362
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422891865205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891878726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891881032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891882064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891914576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891924004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891925409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891926472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891930187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891932487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422891939576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422891942365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891945245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891961185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422891982907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891985767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422891992269
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422891997962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422892002010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892002729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892004011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892010862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892012393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892014156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422892015361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892016627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892018081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892020654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892026831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892038051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892040352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892053982
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422892072292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892082646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892098086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892098675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892102138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892114417
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422892116036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892126131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892127553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892139310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892140557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892166128
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422892169269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892189835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892190945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892194455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892201175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892202605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892206704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892207204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892207204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892207735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892208673
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422892209688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892217815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892218691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892233844
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422892236215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422892237762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422892238074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422892238434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422892239199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422892242029
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422892266641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892269885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1422892269900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422892280390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422892287442
