what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422889174666
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422889176369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889215118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889216133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889230970
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422889232412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889251330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889269815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889273910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889275945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889277024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889279927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889280318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889319551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889320406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889321047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889321313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889330352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422889336664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422889338743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889346696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889347966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889365381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422889369213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889371275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889372611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889449955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889450317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889457313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889457875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889459609
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422889460828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889478063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889495911
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422889497004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889498676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889508887
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422889511215
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422889512942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889523296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889525172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889534724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889542580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889543536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889562990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889577505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889578693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889591665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889610988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889616370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889628664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889650702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1422889650718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889657247
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422889658051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889680322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889713919
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422889715907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889727518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889737617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422889755566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889758572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889765705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889766314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889772816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422889774438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422889775313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422889777672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889791067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422889986625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422890012689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890014081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890020614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422890021804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422890023972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890026401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890081626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890123060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890126822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890130260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890132554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890139321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422890156068
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422890157494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422890206344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422890207364
